distance,load,congestion,shelf_level,fragility,picking_time
32.08846169945872,74.86555480004155,5,1,0.3471254736857703,169.49763057765554
20.36074539132183,74.01139853272034,4,5,0.42101637104481227,119.36784500112246
35.050927196898385,28.24255279749918,1,3,0.9846993829516348,119.6128065740596
29.407881017077738,13.298985565141342,5,5,0.08419409026345293,109.63785293639818
8.296207176067734,37.34195696263623,5,3,0.11165112708258496,70.28177238821623
39.14678230728646,24.14226743730557,0,5,0.4353703413140745,114.41594238097375
31.639889569662355,45.620963129412466,0,2,0.169243654684748,110.41136098114288
32.512250684693385,98.14115072373438,1,3,0.6848301606412988,169.06574465347254
9.483977143644106,26.296423381469886,4,2,0.36067753231570254,58.1351155865085
20.76350782634485,38.698654908067205,3,3,0.8462074645612848,105.71624989523026
17.977930848140343,75.26028846876152,3,2,0.7486105492831542,114.11892806235517
37.43677460970106,55.826450457572946,2,3,0.4708067945986484,150.16014025152887
27.535279202823258,13.953532921604644,2,5,0.8449793915603385,100.17285053804953
33.79665646447905,24.552101634518948,3,1,0.10081884498155602,111.7702969431172
20.519496958956587,94.17245992958763,0,4,0.5810990045952281,119.02095736486973
12.953355262467191,19.284849346512562,3,5,0.6051329668098131,77.76898065712835
24.41046754555422,67.15835084887351,1,1,0.2460211138297973,124.21085055307411
7.233603963646136,81.30930839568204,4,4,0.04962132649027873,91.87614411652581
33.96709101974037,33.88951564524315,1,3,0.535198962463447,112.38884750424204
27.10825396927227,75.2570202824821,0,4,0.5136770495598508,126.11718920029213
31.533070902988083,25.29056611271622,2,2,0.6536117593504925,102.36882260527283
17.408408884545395,35.627524735041135,2,2,0.2129287409270345,82.75137510417224
38.974430853821616,38.06398277957867,3,2,0.17964336175640183,146.03574319346913
36.25923924627692,99.67914915078012,5,1,0.9779158893556854,203.17420378346057
32.24342239758167,29.311506569616157,4,3,0.11368849528457503,118.69590906511553
11.812354774818864,21.62867181702265,2,5,0.9994085860213123,74.7406341012926
21.335235130446197,93.31222937332693,4,4,0.7199767741524205,147.46111594764426
6.533131802553007,24.573762443831747,3,1,0.6293222383102637,62.253286819686934
10.400132222364174,89.13519276664648,1,3,0.3397834954859773,88.20700454144206
28.906713363485913,68.5410964882021,0,1,0.8678031028851877,134.27532216654586
